"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1992,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1993,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1994,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1995,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1996,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1997,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1998,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",1999,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2000,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2001,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2002,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2003,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2004,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2005,0,NA,NA,"yes"
"SYR","Syrian Arab Republic","Western Asia","Western Asia",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2006,0,NA,NA,"yes"
