"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"Total",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"N2O",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"Total",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"N2O",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"Total",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"N2O",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"Total",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"N2O",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"Total",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"N2O",159
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"Total",132.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"N2O",132.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"Total",79.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"N2O",79.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"Total",185.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"N2O",185.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",1999,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"Total",265
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"N2O",265
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2000,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"Total",132.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"N2O",132.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2001,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"Total",132.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"N2O",132.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2002,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"Total",132.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"N2O",132.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2003,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"Total",185.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"N2O",185.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2004,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2005,"Total",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2005,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2005,"N2O",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2005,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2005,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2006,"Total",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2006,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2006,"N2O",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2006,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2006,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2007,"Total",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2007,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2007,"N2O",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2007,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2007,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2008,"Total",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2008,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2008,"N2O",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2008,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2008,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2009,"Total",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2009,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2009,"N2O",212
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2009,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2009,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2010,"Total",238.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2010,"CO2",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2010,"N2O",238.5
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2010,"CH4",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2010,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Crop Residues","Not agri-food","no","Farm gate",2011,"Total",238.5
