"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"DEU","Germany","Energy","Not agri-food","yes","no",1992,925419736.1,885241930,5553412.1,34624394,NA
"DEU","Germany","Energy","Not agri-food","yes","no",1993,905456183.5,869259610,5432127.9,30764445.599999998,NA
"DEU","Germany","Energy","Not agri-food","yes","no",1994,890628086.9,856890440,5410590.100000001,28327056.799999997,NA
"DEU","Germany","Energy","Not agri-food","yes","no",1995,889912649,856196720,5477903.8,28238025.2,NA
"DEU","Germany","Energy","Not agri-food","yes","no",1996,912954168.8,880919170,5511165,26523833.8,NA
"DEU","Germany","Energy","Not agri-food","yes","no",1997,881247991.9,849983730,5379949.2,25884312.7,NA
"DEU","Germany","Energy","Not agri-food","yes","no",1998,872509030.9,842831840.1,5441816.300000001,24235374.5,NA
"DEU","Germany","Energy","Not agri-food","yes","no",1999,837596436.5,809441530,4699934.8,23454971.7,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2000,843249376,817006970,4589840.8,21652565.2,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2001,866631916.1999999,842157539.9999999,4518436,19955940.2,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2002,842129134.4,818298900,4369059.199999999,19461175.200000003,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2003,834171113.5,810141410,4446096.1,19583607.400000002,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2004,827032307.5,803299150.1,4344446,19388711.4,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2005,808271552.6,785045590,4173029.7,19052932.9,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2006,826430420.5999999,803488419.9999999,4258133.7,18683866.900000002,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2007,790872531.9,768083770,4234933.5,18553828.4,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2008,788557197.9,766341910,4151183.4,18064104.5,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2009,729312900.1,708608060,3940032.5,16764807.6,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2010,770681413.4,748949969.9,4116903.3,17614540.2,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2011,740731493.0999999,719267259.9999999,4046336.6999999997,17417896.400000002,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2012,749574358.8000001,727777820.0000001,4124014.8,17672524,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2013,769469898.5999999,747763799.9999999,4273703.2,17432395.400000002,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2014,730711156,709681490,4142629.7,16887036.3,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2015,737940161.4,716949710,4141433.8,16849017.599999998,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2016,736654698.4,716526060,4151765.9000000004,15976872.5,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2017,729593971.4000001,709702699.9000001,4024073,15867198.5,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2018,712369286.9,692434320,4426462.7,15508504.2,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2019,672637679,654422850,4198637.7,14016191.3,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2020,607420923.8,590300980,3848010.6999999997,13271933.1,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2021,644500187.7,626293910,4074775.4,14131502.3,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2022,636310689.5,617895530,4181829.3000000003,14233330.200000001,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA,NA
"DEU","Germany","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA,NA
"DEU","Germany","IPPU","Not agri-food","yes","no",1992,74196914,36195290,26729569.5,242082.5,11029972
"DEU","Germany","IPPU","Not agri-food","yes","no",1993,73727191.1,36014505.99999999,24463017.1,245189,13004479
"DEU","Germany","IPPU","Not agri-food","yes","no",1994,75148653.9,33074844.000000007,27300938.7,205310.2,14567561
"DEU","Germany","IPPU","Not agri-food","yes","no",1995,71076055.9,31017238.000000007,23945325,150945.9,15962547
"DEU","Germany","IPPU","Not agri-food","yes","no",1996,74732977.3,31999266.999999993,25695161.1,172177.2,16866372
"DEU","Germany","IPPU","Not agri-food","yes","no",1997,74781226,33998491,22278373,186819,18317543
"DEU","Germany","IPPU","Not agri-food","yes","no",1998,66126098.9,40610575.099999994,7048904.3,344174.5,18122445
"DEU","Germany","IPPU","Not agri-food","yes","no",1999,62748937.2,39692081,5165945.5,310129.7,17580781
"DEU","Germany","IPPU","Not agri-food","yes","no",2000,66200604.60000001,40166473.900000006,5554210.8,319790.9,20160129
"DEU","Germany","IPPU","Not agri-food","yes","no",2001,59964070.2,38118433,4705631,313616.2,16826390
"DEU","Germany","IPPU","Not agri-food","yes","no",2002,57036095.5,36613972,4842688.199999999,300360.3,15279075
"DEU","Germany","IPPU","Not agri-food","yes","no",2003,59021858.2,38801693.1,4629299.3,321447.8,15269418
"DEU","Germany","IPPU","Not agri-food","yes","no",2004,59839160.6,39299492,4809994.300000001,316771.3,15412903
"DEU","Germany","IPPU","Not agri-food","yes","no",2005,57510242.8,37481668,4955702.7,326907.10000000003,14745965
"DEU","Germany","IPPU","Not agri-food","yes","no",2006,58870443.099999994,38570060.99999999,5279343.5,333285.6,14687753
"DEU","Germany","IPPU","Not agri-food","yes","no",2007,60051011.2,39690364,4761249.7,339169.5,15260228
"DEU","Germany","IPPU","Not agri-food","yes","no",2008,56882908.6,38139725,4295460,306773.6,14140950
"DEU","Germany","IPPU","Not agri-food","yes","no",2009,51120959.1,33275748,4119589.8,278046.3,13447575
"DEU","Germany","IPPU","Not agri-food","yes","no",2010,53845751.5,36017832,3421541.7,290687.8,14115690
"DEU","Germany","IPPU","Not agri-food","yes","no",2011,55082408.9,37156760,3455662.3,274291.60000000003,14195695
"DEU","Germany","IPPU","Not agri-food","yes","no",2012,54242744.5,36308154,3419053.3,267373.2,14248164
"DEU","Germany","IPPU","Not agri-food","yes","no",2013,53428832.4,35405637,3485313.9,264871.5,14273010
"DEU","Germany","IPPU","Not agri-food","yes","no",2014,54407609.3,36157215,3506856,271299.3,14472239
"DEU","Germany","IPPU","Not agri-food","yes","no",2015,54243035.900000006,35736071.00000001,3436246,269626.89999999997,14801092
"DEU","Germany","IPPU","Not agri-food","yes","no",2016,54854594.4,36100818.099999994,3457365.4,273991.89999999997,15022419
"DEU","Germany","IPPU","Not agri-food","yes","no",2017,55958310,37128158.1,3355729.4000000004,280680.5,15193742
"DEU","Germany","IPPU","Not agri-food","yes","no",2018,54070332.8,35981926.9,3411399.9,278532,14398474
