"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"KWT","Kuwait","Afghanistan","Vegetables","Asparagus","Export value","1000 USD",2013,1
"KWT","Kuwait","Afghanistan","Fruits and nuts","Avocados","Export value","1000 USD",2013,1
"KWT","Kuwait","Afghanistan","Vegetables","Cantaloupes and other melons","Export value","1000 USD",2013,3
"KWT","Kuwait","Afghanistan","Vegetables","Carrots and turnips","Export value","1000 USD",2013,1
"KWT","Kuwait","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2013,2165
"KWT","Kuwait","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2014,655
"KWT","Kuwait","Afghanistan","Fruits and nuts","Figs","Import value","1000 USD",2023,450
"KWT","Kuwait","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2009,52
"KWT","Kuwait","Afghanistan","Oilseeds and oleaginous fruits","Melonseed","Import value","1000 USD",1993,55
"KWT","Kuwait","Afghanistan","Oilseeds and oleaginous fruits","Melonseed","Import value","1000 USD",1996,89
"KWT","Kuwait","Afghanistan","Oilseeds and oleaginous fruits","Melonseed","Import value","1000 USD",1997,72
"KWT","Kuwait","Afghanistan","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",2021,599
"KWT","Kuwait","Afghanistan","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",2023,533
"KWT","Kuwait","Afghanistan","Fruits and nuts","Pistachios, in shell","Import value","1000 USD",1992,154
"KWT","Kuwait","Afghanistan","Fruits and nuts","Pistachios, in shell","Import value","1000 USD",2021,432
"KWT","Kuwait","Afghanistan","Fruits and nuts","Pistachios, in shell","Import value","1000 USD",2022,1261
"KWT","Kuwait","Afghanistan","Fruits and nuts","Strawberries","Export value","1000 USD",2013,1
"KWT","Kuwait","Albania","Other animal products","Natural honey","Export value","1000 USD",2016,23
"KWT","Kuwait","Albania","Other animal products","Natural honey","Export value","1000 USD",2017,24
"KWT","Kuwait","Algeria","Vegetables","Mushrooms and truffles","Import value","1000 USD",2000,65
"KWT","Kuwait","Algeria","Vegetables","Mushrooms and truffles","Import value","1000 USD",2013,12060
"KWT","Kuwait","Algeria","Vegetables","Mushrooms and truffles","Import value","1000 USD",2017,2167
"KWT","Kuwait","Argentina","Cereals","Barley","Import value","1000 USD",2013,42130
"KWT","Kuwait","Argentina","Cereals","Barley","Import value","1000 USD",2014,26098
"KWT","Kuwait","Argentina","Cereals","Barley","Import value","1000 USD",2015,17492
"KWT","Kuwait","Argentina","Cereals","Barley","Import value","1000 USD",2017,38384
"KWT","Kuwait","Argentina","Cereals","Barley","Import value","1000 USD",2018,61783
"KWT","Kuwait","Argentina","Cereals","Barley","Import value","1000 USD",2019,39119
"KWT","Kuwait","Argentina","Cereals","Barley","Import value","1000 USD",2020,36069
"KWT","Kuwait","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1992,36
"KWT","Kuwait","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1993,54
"KWT","Kuwait","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1994,52
"KWT","Kuwait","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1995,195
"KWT","Kuwait","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1996,68
